provider,category,party,committee_id,committee_name,committee_type,candidate,total_amount,transaction_count
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",3785700.41,268
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",3688076.32,7
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",3452637.04,233
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",3448741.24,156
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,3436279.55,115
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",3226696.26,118
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",3187032.9,60
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",3136735.99,153
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,3041363.94,183
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,2981279.58,153
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,2804792.64,169
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,2782073.55,81
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,2642393.18,297
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,2618756.28,299
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",2598849.23,139
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,2598044.2,357
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,2428614.9,157
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,2423135.83,412
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",2395997.07,213
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,2227637.32,98
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,2158277.69,346
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,2114960.07,88
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,2114671.55,68
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,2107539.11,137
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,2059497.67,83
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,2010485.56,237
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",1997960.53,7
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,1982399.78,2
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",1894629.18,48
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,1863009.42,93
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,1842805.58,277
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",1816019.99,95
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,1782757.39,337
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",1748403.32,93
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,1727218.85,77
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,1620098.52,69
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",1599671.97,83
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,1506193.64,82
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,1493766.79,65
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,1476766.38,93
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,1457831.17,204
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",1457782.51,107
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,1456067.21,231
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",1416437.23,18
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",1407543.38,82
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",1376605.97,78
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",1364429.96,68
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",1361987.52,57
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",1301093.27,85
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",1283729.69,46
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,1263283.13,213
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",1259870.86,73
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",1259539.36,39
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,1259459.96,62
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,1226268.42,41
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,1223629.28,64
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,1218723.31,225
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,1188662.65,38
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,1177032.13,53
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,1158316.34,82
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,1150236.86,40
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,1135927.32,143
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,1131281.91,184
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",1088296.0,36
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",1032044.98,53
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,1029746.7,163
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,1028413.26,76
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",1011508.47,60
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,1008414.24,279
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,990397.71,66
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00718866,BIDEN VICTORY FUND,Joint Fundraising,"BIDEN, JOSEPH R JR",979753.39,63
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00000935,DNC,National Party,,971785.62,185
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",968254.81,46
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,965416.94,43
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00042366,DNC SERVICES CORPORATION,National Party,,961453.32,165
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",951746.95,57
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00736876,DSCC,Senatorial Committee,,944843.83,67
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00835199,HARRIS ACTION FUND,Joint Fundraising,"HARRIS, KAMALA",932050.9,51
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00010603,DCCC,Congressional Committee,,922413.51,233
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696153,DEMOCRATIC GRASSROOTS ONLINE,Joint Fundraising,,918729.55,60
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",904825.33,42
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00776997,DEMOCRATIC UNITY FUND,Joint Fundraising,,876316.8,60
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00696948,HARRIS FOR PRESIDENT,Presidential,"HARRIS, KAMALA",870704.88,37
ACTBLUE,Fundraising Platform (D-aligned),DEM,C00744946,HARRIS VICTORY FUND,Joint Fundraising,"HARRIS, KAMALA",868831.54,29
ANEDOT,Fundraising Platform (R-leaning),REP,C00820118,SAVE AMERICA,Leadership PAC,"TRUMP, DONALD J",3668755.66,166
ANEDOT,Fundraising Platform (R-leaning),REP,C00820118,SAVE AMERICA,Leadership PAC,"TRUMP, DONALD J",2653803.16,139
ANEDOT,Fundraising Platform (R-leaning),REP,C00820118,SAVE AMERICA,Leadership PAC,"TRUMP, DONALD J",2003653.16,134
ANEDOT,Fundraising Platform (R-leaning),REP,C00865667,TRUMP 47 COMMITTEE,Joint Fundraising,"TRUMP, DONALD J",1418620.02,53
ANEDOT,Fundraising Platform (R-leaning),REP,C00865667,TRUMP 47 COMMITTEE,Joint Fundraising,"TRUMP, DONALD J",1361048.88,62
ANEDOT,Fundraising Platform (R-leaning),REP,C00820118,SAVE AMERICA,Leadership PAC,"TRUMP, DONALD J",1327561.75,48
ANEDOT,Fundraising Platform (R-leaning),REP,C00791947,TED CRUZ FOR SENATE,Senate,"CRUZ, TED",748680.52,143
ANEDOT,Fundraising Platform (R-leaning),REP,C00846105,TRUMP NATIONAL COMMITTEE JFC,Joint Fundraising,"TRUMP, DONALD J",645610.51,63
ANEDOT,Fundraising Platform (R-leaning),REP,C00846105,TRUMP NATIONAL COMMITTEE JFC,Joint Fundraising,"TRUMP, DONALD J",556804.27,40
ANEDOT,Fundraising Platform (R-leaning),REP,C00766733,BERNIE MORENO FOR OHIO,Senate,"MORENO, BERNIE",500044.73,52
ANEDOT,Fundraising Platform (R-leaning),REP,C00837518,VIVEK RAMASWAMY,Presidential,"RAMASWAMY, VIVEK",444044.15,12
ANEDOT,Fundraising Platform (R-leaning),REP,C00766733,BERNIE MORENO FOR OHIO,Senate,"MORENO, BERNIE",438671.74,42
ANEDOT,Fundraising Platform (R-leaning),REP,C00791947,TED CRUZ FOR SENATE,Senate,"CRUZ, TED",383277.56,75
ANEDOT,Fundraising Platform (R-leaning),REP,C00801308,KARI LAKE FOR ARIZONA,Senate,"LAKE, KARI",338024.49,47
ANEDOT,Fundraising Platform (R-leaning),REP,C00842765,CELESTE FOR CONGRESS,House,"MALOY, CELESTE",319116.51,73
ANEDOT,Fundraising Platform (R-leaning),REP,C00801308,KARI LAKE FOR ARIZONA,Senate,"LAKE, KARI",317810.26,39
ANEDOT,Fundraising Platform (R-leaning),REP,C00838318,MIKE ROGERS FOR SENATE,Senate,"ROGERS, MIKE",310424.75,112
ANEDOT,Fundraising Platform (R-leaning),REP,C00543892,RICK SCOTT FOR FLORIDA,Senate,"SCOTT, RICK",306363.16,64
ANEDOT,Fundraising Platform (R-leaning),REP,C00842765,CELESTE FOR CONGRESS,House,"MALOY, CELESTE",296766.44,56
ANEDOT,Fundraising Platform (R-leaning),REP,C00849471,TIM SHEEHY FOR MONTANA,Senate,"SHEEHY, TIM",293416.48,115
ANEDOT,Fundraising Platform (R-leaning),REP,C00543892,RICK SCOTT FOR FLORIDA,Senate,"SCOTT, RICK",279373.57,54
ANEDOT,Fundraising Platform (R-leaning),REP,C00752287,ERIC HOVDE FOR WISCONSIN,Senate,"HOVDE, ERIC",268037.35,52
ANEDOT,Fundraising Platform (R-leaning),REP,C00739920,ROSENDALE FOR MONTANA,Senate,"ROSENDALE, MATT",255513.86,53
ANEDOT,Fundraising Platform (R-leaning),REP,C00838318,MIKE ROGERS FOR SENATE,Senate,"ROGERS, MIKE",243218.16,72
ANEDOT,Fundraising Platform (R-leaning),REP,C00839233,DAVE MCCORMICK FOR SENATE,Senate,"MCCORMICK, DAVE",237527.98,48
ANEDOT,Fundraising Platform (R-leaning),REP,C00752287,ERIC HOVDE FOR WISCONSIN,Senate,"HOVDE, ERIC",228620.48,40
ANEDOT,Fundraising Platform (R-leaning),REP,C00845875,SAM BROWN FOR NEVADA,Senate,"BROWN, SAM",228001.59,18
ANEDOT,Fundraising Platform (R-leaning),REP,C00717942,HERSCHEL WALKER / GA CANDIDATE,Senate,,225541.81,87
ANEDOT,Fundraising Platform (R-leaning),REP,C00547695,MARSHA BLACKBURN FOR SENATE,Senate,"BLACKBURN, MARSHA",207424.12,46
ANEDOT,Fundraising Platform (R-leaning),REP,C00654707,JOSH HAWLEY FOR SENATE,Senate,"HAWLEY, JOSH",204972.64,56
ANEDOT,Fundraising Platform (R-leaning),REP,C00850776,LARRY HOGAN FOR US SENATE,Senate,"HOGAN, LARRY",201133.65,31
ANEDOT,Fundraising Platform (R-leaning),REP,C00849471,TIM SHEEHY FOR MONTANA,Senate,"SHEEHY, TIM",199958.68,79
ANEDOT,Fundraising Platform (R-leaning),REP,C00547695,MARSHA BLACKBURN FOR SENATE,Senate,"BLACKBURN, MARSHA",198082.48,34
ANEDOT,Fundraising Platform (R-leaning),REP,C00654707,JOSH HAWLEY FOR SENATE,Senate,"HAWLEY, JOSH",195792.42,51
ANEDOT,Fundraising Platform (R-leaning),REP,C00739920,ROSENDALE FOR MONTANA,Senate,"ROSENDALE, MATT",190729.15,38
ANEDOT,Fundraising Platform (R-leaning),REP,C00738617,YVETTE HERRELL FOR CONGRESS,House,"HERRELL, YVETTE",175803.6,63
ANEDOT,Fundraising Platform (R-leaning),REP,C00717942,HERSCHEL WALKER / GA CANDIDATE,Senate,,175044.43,60
ANEDOT,Fundraising Platform (R-leaning),REP,C00853283,NELLA DOMENICI FOR SENATE,Senate,"DOMENICI, NELLA",166483.15,26
ANEDOT,Fundraising Platform (R-leaning),REP,C00839233,DAVE MCCORMICK FOR SENATE,Senate,"MCCORMICK, DAVE",165968.54,31
ANEDOT,Fundraising Platform (R-leaning),REP,C00747964,BRANDON GILL FOR CONGRESS,House,"GILL, BRANDON",164541.96,26
ANEDOT,Fundraising Platform (R-leaning),REP,C00850776,LARRY HOGAN FOR US SENATE,Senate,"HOGAN, LARRY",163327.55,22
ANEDOT,Fundraising Platform (R-leaning),REP,C00836601,DENNY HOSKINS FOR CONGRESS,House,"HOSKINS, DENNY",158483.68,33
ANEDOT,Fundraising Platform (R-leaning),REP,C00845875,SAM BROWN FOR NEVADA,Senate,"BROWN, SAM",153668.98,10
ANEDOT,Fundraising Platform (R-leaning),REP,C00738617,YVETTE HERRELL FOR CONGRESS,House,"HERRELL, YVETTE",153527.22,41
ANEDOT,Fundraising Platform (R-leaning),REP,C00754739,MONICA DE LA CRUZ FOR CONGRESS,House,"DE LA CRUZ, MONICA",142625.31,34
ANEDOT,Fundraising Platform (R-leaning),REP,C00713370,PAT FALLON FOR CONGRESS,House,"FALLON, PAT",140814.41,80
ANEDOT,Fundraising Platform (R-leaning),REP,C00747964,BRANDON GILL FOR CONGRESS,House,"GILL, BRANDON",138073.99,20
ANEDOT,Fundraising Platform (R-leaning),REP,C00763219,DEREK SCHMIDT FOR SENATE,Senate,"SCHMIDT, DEREK",134671.11,32
ANEDOT,Fundraising Platform (R-leaning),REP,C00853283,NELLA DOMENICI FOR SENATE,Senate,"DOMENICI, NELLA",128299.62,17
ANEDOT,Fundraising Platform (R-leaning),REP,C00836601,DENNY HOSKINS FOR CONGRESS,House,"HOSKINS, DENNY",127416.74,20
ANEDOT,Fundraising Platform (R-leaning),REP,C00612382,PETE STAUBER FOR CONGRESS,House,"STAUBER, PETE",125455.36,46
ANEDOT,Fundraising Platform (R-leaning),REP,C00750448,BARRY MOORE FOR CONGRESS,House,"MOORE, BARRY",124413.15,89
ANEDOT,Fundraising Platform (R-leaning),REP,C00713370,PAT FALLON FOR CONGRESS,House,"FALLON, PAT",122652.17,61
ANEDOT,Fundraising Platform (R-leaning),REP,C00725655,TROY NEHLS FOR CONGRESS,House,"NEHLS, TROY",120948.96,61
ANEDOT,Fundraising Platform (R-leaning),REP,C00754739,MONICA DE LA CRUZ FOR CONGRESS,House,"DE LA CRUZ, MONICA",120710.48,24
ANEDOT,Fundraising Platform (R-leaning),REP,C00612382,PETE STAUBER FOR CONGRESS,House,"STAUBER, PETE",119729.65,37
ANEDOT,Fundraising Platform (R-leaning),REP,C00763219,DEREK SCHMIDT FOR SENATE,Senate,"SCHMIDT, DEREK",119503.73,23
ANEDOT,Fundraising Platform (R-leaning),REP,C00758607,SCOTT FRANKLIN FOR CONGRESS,House,"FRANKLIN, SCOTT",117849.38,50
ANEDOT,Fundraising Platform (R-leaning),REP,C00758607,SCOTT FRANKLIN FOR CONGRESS,House,"FRANKLIN, SCOTT",116296.89,36
ANEDOT,Fundraising Platform (R-leaning),REP,C00835603,DERRICK ANDERSON FOR CONGRESS,House,"ANDERSON, DERRICK",116197.95,18
ANEDOT,Fundraising Platform (R-leaning),REP,C00725655,TROY NEHLS FOR CONGRESS,House,"NEHLS, TROY",116009.32,51
ANEDOT,Fundraising Platform (R-leaning),REP,C00832022,LAUREL LEE FOR CONGRESS,House,"LEE, LAUREL",116007.33,28
ANEDOT,Fundraising Platform (R-leaning),REP,C00750448,BARRY MOORE FOR CONGRESS,House,"MOORE, BARRY",110236.23,67
ANEDOT,Fundraising Platform (R-leaning),REP,C00835603,DERRICK ANDERSON FOR CONGRESS,House,"ANDERSON, DERRICK",105891.48,13
ANEDOT,Fundraising Platform (R-leaning),REP,C00832022,LAUREL LEE FOR CONGRESS,House,"LEE, LAUREL",104403.36,24
ANEDOT,Fundraising Platform (R-leaning),REP,C00833004,CORY MILLS FOR CONGRESS,House,"MILLS, CORY",102805.05,50
ANEDOT,Fundraising Platform (R-leaning),REP,C00731943,MARIA SALAZAR FOR CONGRESS,House,"SALAZAR, MARIA",101519.74,19
ANEDOT,Fundraising Platform (R-leaning),REP,C00837518,VIVEK RAMASWAMY,Presidential,"RAMASWAMY, VIVEK",101032.0,2
ANEDOT,Fundraising Platform (R-leaning),REP,C00723981,BYRON DONALDS FOR CONGRESS,House,"DONALDS, BYRON",99839.36,114
ANEDOT,Fundraising Platform (R-leaning),REP,C00611483,MIKE WALTZ FOR CONGRESS,House,"WALTZ, MIKE",99653.96,42
ANEDOT,Fundraising Platform (R-leaning),REP,C00631267,GUS BILIRAKIS FOR CONGRESS,House,"BILIRAKIS, GUS",96668.37,37
ANEDOT,Fundraising Platform (R-leaning),REP,C00715136,ANNA PAULINA LUNA FOR CONGRESS,House,"LUNA, ANNA PAULINA",96268.61,35
ANEDOT,Fundraising Platform (R-leaning),REP,C00833004,CORY MILLS FOR CONGRESS,House,"MILLS, CORY",95729.28,40
ANEDOT,Fundraising Platform (R-leaning),REP,C00834077,DESANTIS FOR PRESIDENT,Presidential,"DESANTIS, RON",91946.05,44
ANEDOT,Fundraising Platform (R-leaning),REP,C00636837,BILL HAGERTY FOR TENNESSEE,Senate,"HAGERTY, BILL",91723.69,51
ANEDOT,Fundraising Platform (R-leaning),REP,C00698894,JOHN JAMES FOR SENATE,Senate,"JAMES, JOHN",90354.79,27
ANEDOT,Fundraising Platform (R-leaning),REP,C00711929,WESLEY HUNT FOR CONGRESS,House,"HUNT, WESLEY",89163.54,305
ANEDOT,Fundraising Platform (R-leaning),REP,C00696484,RONNY JACKSON FOR CONGRESS,House,"JACKSON, RONNY",88994.15,261
ANEDOT,Fundraising Platform (R-leaning),REP,C00544767,ROGER WILLIAMS FOR CONGRESS,House,"WILLIAMS, ROGER",88908.52,83
ANEDOT,Fundraising Platform (R-leaning),REP,C00542423,FRIENDS OF BRIAN MAST,House,"MAST, BRIAN",88536.5,308
ANEDOT,Fundraising Platform (R-leaning),REP,C00542423,FRIENDS OF BRIAN MAST,House,"MAST, BRIAN",86698.38,365
ANEDOT,Fundraising Platform (R-leaning),REP,C00651075,VAN ORDER FOR CONGRESS,House,"VAN ORDER, DERRICK",86600.28,158
ANEDOT,Fundraising Platform (R-leaning),REP,C00711689,MARK GREEN FOR CONGRESS,House,"GREEN, MARK",85614.05,85
ANEDOT,Fundraising Platform (R-leaning),REP,C00701003,TONY GONZALES FOR CONGRESS,House,"GONZALES, TONY",84592.54,150
ANEDOT,Fundraising Platform (R-leaning),REP,C00728238,KEITH SELF FOR CONGRESS,House,"SELF, KEITH",84234.08,132
ANEDOT,Fundraising Platform (R-leaning),REP,C00736983,JUAN CISCOMANI FOR CONGRESS,House,"CISCOMANI, JUAN",83755.29,126
ANEDOT,Fundraising Platform (R-leaning),REP,C00708289,MIKE LAWLER FOR CONGRESS,House,"LAWLER, MIKE",83076.49,195
ANEDOT,Fundraising Platform (R-leaning),REP,C00837518,VIVEK RAMASWAMY,Presidential,"RAMASWAMY, VIVEK",83035.0,8
ANEDOT,Fundraising Platform (R-leaning),REP,C00655522,ASHLEY HINSON FOR IOWA,House,"HINSON, ASHLEY",82753.09,82
ANEDOT,Fundraising Platform (R-leaning),REP,C00716571,DALE STRONG FOR CONGRESS,House,"STRONG, DALE",82545.58,235
ANEDOT,Fundraising Platform (R-leaning),REP,C00224691,JOHN KENNEDY FOR US SENATE,Senate,"KENNEDY, JOHN",82290.36,63
ANEDOT,Fundraising Platform (R-leaning),REP,C00721332,NIKKI HALEY FOR PRESIDENT,Presidential,"HALEY, NIKKI",80097.62,24
ANEDOT,Fundraising Platform (R-leaning),REP,C00608489,STEVE SCALISE FOR CONGRESS,House,"SCALISE, STEVE",79030.86,64
ANEDOT,Fundraising Platform (R-leaning),REP,C00193342,ROGER WICKER FOR SENATE,Senate,"WICKER, ROGER",78946.84,107
ANEDOT,Fundraising Platform (R-leaning),REP,C00845826,ZACH NUNN FOR CONGRESS,House,"NUNN, ZACH",78184.82,426
ANEDOT,Fundraising Platform (R-leaning),REP,C00506105,LOUIE GOHMERT / TX REP,House,,76431.44,169
ANEDOT,Fundraising Platform (R-leaning),UNK,C00634790,UNKNOWN,Unknown,,196478.5,46
ANEDOT,Fundraising Platform (R-leaning),UNK,C00634790,UNKNOWN,Unknown,,168649.04,35
EVERYACTION,CRM / Fundraising Platform (D-aligned),DEM,C00703975,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,National Party,,4263547.44,47
EVERYACTION,CRM / Fundraising Platform (D-aligned),DEM,C00401224,BIDEN FOR PRESIDENT,Presidential,"BIDEN, JOSEPH R JR",3252000.0,3
